"pH","ALED","Trial"
3.93,-0.000498902,"1"
5.23,0.001667159,"1"
6.17,0.009589693,"1"
6.42,0.051714474,"1"
6.65,0.046868219,"1"
6.76,0.054346569,"1"
6.91,0.136289814,"1"
7.15,0.169403958,"1"
7.28,0.220740855,"1"
7.46,0.295080663,"1"
7.61,0.295080663,"1"
7.74,0.313863892,"1"
7.91,0.340000064,"1"
8.15,0.375247822,"1"
8.51,0.429868773,"1"
9.02,0.448157559,"1"
9.46,0.462397998,"1"
10.03,0.463848064,"1"
3.59,0.005380853,"2"
4.08,-0.001617486,"2"
4.97,0.002111778,"2"
5.58,0.005380853,"2"
6,0.017695008,"2"
6.19,0.023301077,"2"
6.3,0.026217544,"2"
6.46,0.053936536,"2"
6.55,0.046117751,"2"
6.68,0.055222791,"2"
6.79,0.064522814,"2"
6.89,0.085120297,"2"
6.97,0.09630275,"2"
7.06,0.112164449,"2"
7.12,0.119143765,"2"
7.19,0.138100183,"2"
7.26,0.15167299,"2"
7.39,0.195138684,"2"
7.52,0.231406071,"2"
7.68,0.249157847,"2"
7.79,0.256993643,"2"
7.96,0.290464257,"2"
8.15,0.305263871,"2"
8.51,0.335765094,"2"
9.01,0.371229943,"2"
9.15,0.371229943,"2"
10.06,0.375056351,"2"
11.21,0.395919091,"2"
12.15,0.395919091,"2"
3.32,0.011184167,"3"
5.3,0.015739745,"3"
5.98,0.02812688,"3"
6.23,0.040877726,"3"
6.49,0.054848668,"3"
6.63,0.075370335,"3"
6.81,0.097831105,"3"
7.01,0.118605671,"3"
7.23,0.17535579,"3"
7.3,0.197980409,"3"
7.4,0.187653238,"3"
7.61,0.223077306,"3"
7.87,0.326807216,"3"
8.09,0.37117829,"3"
8.77,0.444516151,"3"
9.5,0.450705726,"3"
10.58,0.459098151,"3"
11.56,0.461221844,"3"
2.93,0.001303536,"4"
4.29,0.001738919,"4"
5.36,0.005237786,"4"
5.94,0.012767813,"4"
6.14,0.01952214,"4"
6.47,0.035232376,"4"
6.58,0.042348229,"4"
6.67,0.050556373,"4"
6.77,0.059917593,"4"
6.88,0.074606503,"4"
6.93,0.08345403,"4"
7.03,0.103357074,"4"
7.14,0.119620485,"4"
7.28,0.147344548,"4"
7.36,0.16347734,"4"
7.46,0.196294645,"4"
7.54,0.205249488,"4"
7.59,0.218678703,"4"
7.69,0.233278211,"4"
7.78,0.244559222,"4"
7.9,0.271269288,"4"
8.43,0.346257536,"4"
9.16,0.394052712,"4"
10.1,0.400551005,"4"
10.66,0.413846773,"4"
11.6,0.417235304,"4"
